day,sales
27/05/2018,1096
28/05/2018,1283
29/05/2018,1370
30/05/2018,1326
31/05/2018,1269
01/06/2018,1208
02/06/2018,997
03/06/2018,1121
04/06/2018,1256
05/06/2018,1281
06/06/2018,1366
07/06/2018,1289
08/06/2018,1208
09/06/2018,1088
10/06/2018,1148
11/06/2018,1372
12/06/2018,1352
13/06/2018,1357
14/06/2018,1362
15/06/2018,1090
16/06/2018,919
17/06/2018,1027
18/06/2018,1243
19/06/2018,1384
20/06/2018,1373
21/06/2018,1376
22/06/2018,1098
23/06/2018,966
24/06/2018,978
25/06/2018,1209
26/06/2018,1170
27/06/2018,1270
28/06/2018,1188
29/06/2018,1021
30/06/2018,885
01/07/2018,1103
02/07/2018,1167
03/07/2018,1209
04/07/2018,1122
05/07/2018,1217
06/07/2018,1139
07/07/2018,891
08/07/2018,962
09/07/2018,1130
10/07/2018,1151
11/07/2018,1201
12/07/2018,1235
13/07/2018,944
14/07/2018,847
15/07/2018,1028
16/07/2018,1090
17/07/2018,1256
18/07/2018,1139
19/07/2018,1065
20/07/2018,896
21/07/2018,845
22/07/2018,963
23/07/2018,1077
24/07/2018,1217
25/07/2018,1078
26/07/2018,1100
27/07/2018,1230
28/07/2018,802
29/07/2018,953
30/07/2018,1022
31/07/2018,1135
01/08/2018,1156
02/08/2018,1146
03/08/2018,1023
04/08/2018,871
05/08/2018,1034
06/08/2018,1198
07/08/2018,1257
08/08/2018,1313
09/08/2018,1232
10/08/2018,1108
11/08/2018,892
12/08/2018,1036
13/08/2018,1303
14/08/2018,1195
15/08/2018,1213
16/08/2018,1157
17/08/2018,1063
18/08/2018,1047
19/08/2018,1078
20/08/2018,1197
21/08/2018,1227
22/08/2018,1332
23/08/2018,1275
24/08/2018,1098
25/08/2018,1028
26/08/2018,1087
27/08/2018,1363
28/08/2018,1365
29/08/2018,1457
30/08/2018,1350
31/08/2018,1192
01/09/2018,1102
02/09/2018,1286
03/09/2018,1528
04/09/2018,1448
05/09/2018,1587
06/09/2018,1696
07/09/2018,1610
08/09/2018,1265
09/09/2018,1552
10/09/2018,1493
11/09/2018,1585
12/09/2018,1565
13/09/2018,1576
14/09/2018,1419
15/09/2018,1302
16/09/2018,1496
17/09/2018,1694
18/09/2018,1753
19/09/2018,1902
20/09/2018,1688
21/09/2018,1481
22/09/2018,1310
23/09/2018,1516
24/09/2018,1746
25/09/2018,1874
26/09/2018,1801
27/09/2018,1826
28/09/2018,1466
29/09/2018,1319
30/09/2018,1670
01/10/2018,1668
02/10/2018,1748
03/10/2018,1810
04/10/2018,1818
05/10/2018,1545
06/10/2018,1443
07/10/2018,1701
08/10/2018,1846
09/10/2018,1816
10/10/2018,1876
11/10/2018,1798
12/10/2018,1511
13/10/2018,1368
14/10/2018,1664
15/10/2018,1847
16/10/2018,1655
17/10/2018,1686
18/10/2018,1711
19/10/2018,1554
20/10/2018,1434
21/10/2018,1861
22/10/2018,1842
23/10/2018,1860
24/10/2018,2355
25/10/2018,2003
26/10/2018,1542
27/10/2018,1491
28/10/2018,1746
29/10/2018,1920
30/10/2018,1899
31/10/2018,1939
01/11/2018,1924
02/11/2018,1528
03/11/2018,1495
04/11/2018,1725
05/11/2018,1763
06/11/2018,1957
07/11/2018,1705
08/11/2018,1641
09/11/2018,1518
10/11/2018,1462
11/11/2018,1579
12/11/2018,1962
13/11/2018,1933
14/11/2018,2033
15/11/2018,1971
16/11/2018,1787
17/11/2018,1398
18/11/2018,1717
19/11/2018,1675
20/11/2018,1698
21/11/2018,1810
22/11/2018,1676
23/11/2018,1389
24/11/2018,1409
25/11/2018,1610
26/11/2018,1747
27/11/2018,1947
28/11/2018,1919
29/11/2018,1689
30/11/2018,1556
01/12/2018,1561
02/12/2018,1708
03/12/2018,1783
04/12/2018,1768
05/12/2018,1717
06/12/2018,1775
07/12/2018,1607
08/12/2018,1626
09/12/2018,1710
10/12/2018,1736
11/12/2018,1757
12/12/2018,1729
13/12/2018,1653
14/12/2018,1497
15/12/2018,1231
16/12/2018,1458
17/12/2018,1589
18/12/2018,1505
19/12/2018,1340
20/12/2018,1377
21/12/2018,1161
22/12/2018,1061
23/12/2018,1249
24/12/2018,1186
25/12/2018,1124
26/12/2018,1137
27/12/2018,1374
28/12/2018,1135
29/12/2018,1090
30/12/2018,1212
31/12/2018,968
01/01/2019,962
